Year,Month,AvgNonZeroDelay,MaxDelay,DelayCount
2018,1,7.394625176803395,248,707
2018,2,7.2757973733583485,142,533
2018,3,7.532173913043478,195,575
2018,4,8.002004008016032,399,499
2018,5,6.374587458745874,118,606
2018,6,6.509174311926605,104,654
2018,7,5.756720430107527,95,744
2018,8,6.334801762114537,157,681
2018,9,5.7752380952380955,65,525
2018,10,7.180530973451328,515,565
2018,11,6.468805704099822,108,561
2018,12,6.588803088803089,238,518
2019,1,6.8092399403874815,174,671
2019,2,8.855855855855856,284,555
2019,3,7.099221789883268,156,514
2019,4,5.797319932998325,64,597
2019,5,6.281098546042003,130,619
2019,6,7.457538994800693,455,577
2019,7,6.108153078202995,120,601
2019,8,6.544423440453686,108,529
2019,9,6.373493975903615,193,498
2019,10,6.787644787644788,228,518
2019,11,6.88682745825603,153,539
2019,12,6.795493934142114,176,577
2020,1,7.038321167883212,258,548
2020,2,8.074712643678161,450,522
2020,3,6.159891598915989,221,738
2020,4,5.1257995735607675,107,938
2020,5,7.404896421845574,446,531
2020,6,6.053846153846154,77,390
2020,7,6.311148086522462,128,601
2020,8,6.476007677543186,126,521
2020,9,7.032036613272311,150,437
2020,10,6.744801512287334,137,529
2020,11,8.001760563380282,197,568
2020,12,8.050089445438283,167,559
2021,1,7.971479500891266,207,561
2021,2,6.351145038167939,116,524
2021,3,6.847953216374269,102,513
2021,4,8.111545988258317,255,511
2021,5,8.777335984095428,275,503
2021,6,7.566600397614314,348,503
2021,7,6.409174311926606,136,545
2021,8,7.972495088408644,312,509
2021,9,5.9183976261127595,89,674
2021,10,7.20258064516129,343,775
2021,11,7.037796976241901,171,926
2021,12,7.408383233532934,125,835
2022,1,8.141479099678456,315,933
2022,2,8.097783572359843,240,767
2022,3,8.33377135348226,220,761
2022,4,8.397116644823067,388,763
2022,5,7.780386740331492,125,724
2022,6,8.244039270687237,241,713
2022,7,8.744257274119448,382,653
2022,8,9.265486725663717,451,678
2022,9,6.8253164556962025,114,790
2022,10,7.510178117048346,163,786
2022,11,8.27046783625731,199,684
2022,12,8.418508287292818,458,724
2023,1,8.08976157082749,179,713
2023,2,8.202492211838006,309,642
2023,3,8.290743155149935,202,767
2023,4,9.482608695652173,420,690
2023,5,8.811510791366906,195,695
2023,6,9.11021505376344,268,744
2023,7,8.90168970814132,423,651
2023,8,7.91042345276873,104,614
2023,9,8.279069767441861,167,688
2023,10,7.384500745156483,92,671
2023,11,7.083586626139818,110,658
2023,12,7.648648648648648,139,703
